H:\Desktop\Github\RAFT-sintel\core\raft.py:99: FutureWarning: `torch.cuda.amp.autocast(args...)` is deprecated. Please use `torch.amp.autocast('cuda', args...)` instead.
  with autocast(enabled=self.args.mixed_precision):
H:\Desktop\Github\RAFT-sintel\core\raft.py:110: FutureWarning: `torch.cuda.amp.autocast(args...)` is deprecated. Please use `torch.amp.autocast('cuda', args...)` instead.
  with autocast(enabled=self.args.mixed_precision):
C:\ProgramData\anaconda3\envs\raft_env\lib\site-packages\torch\functional.py:534: UserWarning: torch.meshgrid: in an upcoming release, it will be required to pass the indexing argument. (Triggered internally at C:\actions-runner\_work\pytorch\pytorch\builder\windows\pytorch\aten\src\ATen\native\TensorShape.cpp:3596.)
  return _VF.meshgrid(tensors, **kwargs)  # type: ignore[attr-defined]
H:\Desktop\Github\RAFT-sintel\core\raft.py:127: FutureWarning: `torch.cuda.amp.autocast(args...)` is deprecated. Please use `torch.amp.autocast('cuda', args...)` instead.
  with autocast(enabled=self.args.mixed_precision):
C:\ProgramData\anaconda3\envs\raft_env\lib\site-packages\torch\optim\lr_scheduler.py:224: UserWarning: Detected call of `lr_scheduler.step()` before `optimizer.step()`. In PyTorch 1.1.0 and later, you should call them in the opposite order: `optimizer.step()` before `lr_scheduler.step()`.  Failure to do this will result in PyTorch skipping the first value of the learning rate schedule. See more details at https://pytorch.org/docs/stable/optim.html#how-to-adjust-learning-rate
  warnings.warn(
[  5300,  0.0000997]     0.6693,     0.8408,     0.8836,     4.6801,
[  5400,  0.0000996]     0.6668,     0.8372,     0.8788,     5.3382,
[  5500,  0.0000995]     0.6681,     0.8377,     0.8788,     5.2462,
[  5600,  0.0000994]     0.6764,     0.8417,     0.8833,     4.8428,
[  5700,  0.0000993]     0.6702,     0.8396,     0.8809,     4.9164,
[  5800,  0.0000992]     0.6874,     0.8463,     0.8862,     5.2297,
[  5900,  0.0000991]     0.6839,     0.8474,     0.8875,     4.8638,
[  6000,  0.0000990]     0.6692,     0.8340,     0.8767,     5.3617,
[  6100,  0.0000988]     0.6836,     0.8460,     0.8849,     5.7245,
[  6200,  0.0000987]     0.6951,     0.8506,     0.8898,     5.1275,
[  6300,  0.0000986]     0.6963,     0.8509,     0.8887,     4.7067,
[  6400,  0.0000985]     0.6783,     0.8423,     0.8842,     4.8216,
[  6500,  0.0000984]     0.6881,     0.8415,     0.8808,     5.2644,
[  6600,  0.0000983]     0.7040,     0.8609,     0.9006,     4.0137,
[  6700,  0.0000982]     0.7073,     0.8613,     0.8983,     4.5758,
[  6800,  0.0000981]     0.7148,     0.8676,     0.9034,     4.0493,
[  6900,  0.0000980]     0.6922,     0.8441,     0.8836,     4.9375,
[  7000,  0.0000979]     0.7107,     0.8589,     0.8963,     4.2211,
[  7100,  0.0000978]     0.7198,     0.8630,     0.8985,     4.0333,
[  7200,  0.0000977]     0.7326,     0.8729,     0.9067,     4.0256,
[  7300,  0.0000976]     0.7125,     0.8620,     0.9003,     4.2808,
[  7400,  0.0000975]     0.7258,     0.8664,     0.9010,     4.5967,
[  7500,  0.0000974]     0.7239,     0.8703,     0.9059,     3.8528,
[  7600,  0.0000973]     0.7280,     0.8665,     0.9025,     4.1525,
[  7700,  0.0000972]     0.7263,     0.8684,     0.9030,     4.4159,
[  7800,  0.0000971]     0.7341,     0.8771,     0.9115,     3.6015,
[  7900,  0.0000970]     0.7368,     0.8726,     0.9068,     3.5858,
[  8000,  0.0000969]     0.7372,     0.8749,     0.9084,     3.9505,
[  8100,  0.0000967]     0.7430,     0.8808,     0.9143,     3.8252,
[  8200,  0.0000966]     0.7309,     0.8669,     0.9009,     4.1178,
[  8300,  0.0000965]     0.7295,     0.8686,     0.9059,     3.5830,
[  8400,  0.0000964]     0.7347,     0.8705,     0.9053,     4.0634,
[  8500,  0.0000963]     0.7364,     0.8680,     0.9014,     4.2514,
[  8600,  0.0000962]     0.7400,     0.8733,     0.9063,     3.8951,
[  8700,  0.0000961]     0.7365,     0.8722,     0.9064,     3.6752,
[  8800,  0.0000960]     0.7433,     0.8748,     0.9081,     4.0182,
[  8900,  0.0000959]     0.7561,     0.8794,     0.9122,     3.7497,
[  9000,  0.0000958]     0.7495,     0.8792,     0.9111,     3.5501,
[  9100,  0.0000957]     0.7644,     0.8908,     0.9216,     3.1798,
[  9200,  0.0000956]     0.7459,     0.8751,     0.9086,     3.7955,
[  9300,  0.0000955]     0.7465,     0.8767,     0.9086,     4.2694,
[  9400,  0.0000954]     0.7444,     0.8692,     0.9013,     4.4678,
[  9500,  0.0000953]     0.7485,     0.8770,     0.9097,     3.6799,
[  9600,  0.0000952]     0.7594,     0.8837,     0.9150,     3.4999,
[  9700,  0.0000951]     0.7608,     0.8841,     0.9157,     3.4034,
[  9800,  0.0000950]     0.7535,     0.8810,     0.9119,     3.7065,
[  9900,  0.0000949]     0.7588,     0.8824,     0.9134,     3.7158,
[ 10000,  0.0000947]     0.7608,     0.8877,     0.9186,     3.4185,
Validation sintel_flyvis_split (clean) EPE: 2.693968, 1px: 0.791655, 3px: 0.919448, 5px: 0.947338
Validation sintel_flyvis_split (final) EPE: 3.708151, 1px: 0.755829, 3px: 0.889565, 5px: 0.921957
Validation results:
sintel_flyvis_split_clean: 2.6939680576324463
sintel_flyvis_split_final: 3.70815110206604
[ 10100,  0.0000946]     0.7541,     0.8772,     0.9090,     3.9203,
[ 10200,  0.0000945]     0.7488,     0.8776,     0.9097,     3.8203,
[ 10300,  0.0000944]     0.7591,     0.8840,     0.9149,     3.7448,
[ 10400,  0.0000943]     0.7467,     0.8782,     0.9127,     3.3805,
[ 10500,  0.0000942]     0.7471,     0.8749,     0.9083,     3.6906,
[ 10600,  0.0000941]     0.7577,     0.8798,     0.9108,     3.8186,
[ 10700,  0.0000940]     0.7613,     0.8823,     0.9140,     3.3868,
[ 10800,  0.0000939]     0.7577,     0.8821,     0.9132,     3.7328,
[ 10900,  0.0000938]     0.7671,     0.8890,     0.9201,     3.1178,
[ 11000,  0.0000937]     0.7682,     0.8890,     0.9192,     3.4687,
[ 11100,  0.0000936]     0.7640,     0.8857,     0.9173,     3.3039,
[ 11200,  0.0000935]     0.7563,     0.8789,     0.9109,     3.7421,
[ 11300,  0.0000934]     0.7737,     0.8893,     0.9190,     3.3457,
[ 11400,  0.0000933]     0.7718,     0.8909,     0.9203,     3.2565,
[ 11500,  0.0000932]     0.7816,     0.8961,     0.9236,     3.0019,
[ 11600,  0.0000931]     0.7565,     0.8766,     0.9075,     3.7974,
[ 11700,  0.0000930]     0.7644,     0.8854,     0.9164,     3.5562,
[ 11800,  0.0000929]     0.7730,     0.8887,     0.9181,     3.4870,
[ 11900,  0.0000927]     0.7633,     0.8838,     0.9150,     3.4883,
[ 12000,  0.0000926]     0.7692,     0.8857,     0.9151,     3.6147,
[ 12100,  0.0000925]     0.7675,     0.8854,     0.9150,     3.6690,
[ 12200,  0.0000924]     0.7709,     0.8892,     0.9191,     3.2922,
[ 12300,  0.0000923]     0.7753,     0.8894,     0.9189,     3.2487,
[ 12400,  0.0000922]     0.7868,     0.8974,     0.9256,     2.9293,
[ 12500,  0.0000921]     0.7640,     0.8842,     0.9157,     3.2146,
[ 12600,  0.0000920]     0.7689,     0.8839,     0.9140,     3.2110,
[ 12700,  0.0000919]     0.7584,     0.8813,     0.9143,     3.1465,
[ 12800,  0.0000918]     0.7837,     0.8976,     0.9259,     2.8990,
[ 12900,  0.0000917]     0.7696,     0.8866,     0.9169,     3.1020,
[ 13000,  0.0000916]     0.7574,     0.8842,     0.9158,     3.5692,
[ 13100,  0.0000915]     0.7730,     0.8934,     0.9227,     2.9512,
[ 13200,  0.0000914]     0.7817,     0.8946,     0.9232,     2.9944,
[ 13300,  0.0000913]     0.7913,     0.9025,     0.9294,     3.0531,
[ 13400,  0.0000912]     0.7898,     0.9027,     0.9300,     2.6206,
[ 13500,  0.0000911]     0.7694,     0.8848,     0.9152,     3.5275,
[ 13600,  0.0000910]     0.7748,     0.8899,     0.9200,     3.0242,
[ 13700,  0.0000909]     0.7737,     0.8888,     0.9181,     3.5758,
[ 13800,  0.0000908]     0.7681,     0.8869,     0.9162,     3.1921,
[ 13900,  0.0000906]     0.7864,     0.8959,     0.9236,     2.9645,
[ 14000,  0.0000905]     0.7932,     0.9024,     0.9285,     3.0208,
[ 14100,  0.0000904]     0.7987,     0.9047,     0.9305,     2.8902,
[ 14200,  0.0000903]     0.7796,     0.8913,     0.9201,     3.2529,
[ 14300,  0.0000902]     0.7700,     0.8881,     0.9185,     3.0404,
[ 14400,  0.0000901]     0.7805,     0.8900,     0.9195,     3.1279,
[ 14500,  0.0000900]     0.7760,     0.8921,     0.9216,     3.3823,
[ 14600,  0.0000899]     0.7848,     0.8984,     0.9268,     2.6246,
[ 14700,  0.0000898]     0.7871,     0.8962,     0.9238,     3.1535,
[ 14800,  0.0000897]     0.7890,     0.8996,     0.9268,     2.8121,
[ 14900,  0.0000896]     0.8006,     0.9007,     0.9280,     2.8324,
[ 15000,  0.0000895]     0.7712,     0.8873,     0.9180,     3.1337,
Validation sintel_flyvis_split (clean) EPE: 2.321828, 1px: 0.815409, 3px: 0.928378, 5px: 0.952862
Validation sintel_flyvis_split (final) EPE: 3.548937, 1px: 0.778655, 3px: 0.894780, 5px: 0.924066
Validation results:
sintel_flyvis_split_clean: 2.3218278884887695
sintel_flyvis_split_final: 3.5489370822906494
[ 15100,  0.0000894]     0.7850,     0.8985,     0.9257,     3.1967,
[ 15200,  0.0000893]     0.7835,     0.8938,     0.9223,     3.1383,
[ 15300,  0.0000892]     0.7958,     0.9036,     0.9319,     2.3783,
[ 15400,  0.0000891]     0.8065,     0.9109,     0.9368,     2.6929,
[ 15500,  0.0000890]     0.7933,     0.9047,     0.9317,     2.6612,
[ 15600,  0.0000889]     0.7954,     0.9014,     0.9294,     2.8036,
[ 15700,  0.0000888]     0.7852,     0.8976,     0.9259,     2.9124,
[ 15800,  0.0000886]     0.7789,     0.8937,     0.9218,     3.0979,
[ 15900,  0.0000885]     0.7859,     0.8988,     0.9281,     2.8427,
[ 16000,  0.0000884]     0.7818,     0.8941,     0.9233,     2.8438,
[ 16100,  0.0000883]     0.7981,     0.8998,     0.9266,     2.7053,
[ 16200,  0.0000882]     0.7818,     0.8925,     0.9208,     3.2276,
[ 16300,  0.0000881]     0.7764,     0.8902,     0.9198,     3.3230,
